asof,prediction,actual_return,model
2012-03-01,0.03452916647640501,0.0330520463319912,elasticnet
2012-11-01,0.014565603235134592,0.0070682309562846,elasticnet
2012-12-01,0.015645032861315182,0.0504280964668688,elasticnet
2013-01-01,0.0005141013585190125,0.0110606487650415,elasticnet
2013-02-01,0.04091938327189666,0.0240974982872295,elasticnet
2013-03-01,0.009462248722805284,0.1641524491458312,elasticnet
2013-11-01,0.03948318043825461,0.0235627919754459,elasticnet
2013-12-01,0.023925893928095892,-0.0355829059558115,elasticnet
2014-01-01,0.011576628295306412,0.0431170301781616,elasticnet
2014-02-01,0.022512216339493296,0.0099976274590822,elasticnet
2014-03-01,-0.06040299255304223,0.1009137268584841,elasticnet
2014-11-01,0.011858644844648169,-0.004188587515997,elasticnet
2014-12-01,0.04346519963957125,-0.0310408058384106,elasticnet
2015-01-01,-0.018128700120738507,0.0548925108906233,elasticnet
2015-02-01,0.032224865082966125,-0.0157947209476716,elasticnet
2015-03-01,-0.030018337407912786,0.004417553711562,elasticnet
2015-11-01,0.028476445133168653,-0.0175301850326925,elasticnet
2015-12-01,0.03832772063817573,-0.0507353220469523,elasticnet
2016-01-01,-0.01891856818350673,-0.0041283603090035,elasticnet
2016-02-01,0.540397488123753,0.0465575846803061,elasticnet
2016-03-01,0.03209132717042309,0.0873410126175766,elasticnet
2016-11-01,0.01396180734122678,0.0182007624418658,elasticnet
2016-12-01,0.03220518245215981,0.0178843581983825,elasticnet
2017-01-01,0.023344772078776353,0.0371981600668163,elasticnet
2017-02-01,0.01349143293051494,0.0037908503347994,elasticnet
2017-03-01,-0.0043281703958750715,0.1158981577807345,elasticnet
2017-11-01,0.024284736225060898,0.0098316305942705,elasticnet
2017-12-01,0.017879966686530146,0.0561787041255281,elasticnet
2018-01-01,0.006984306779532844,-0.0389473718793677,elasticnet
2018-02-01,0.018068196764303046,0.0268034431561137,elasticnet
2018-03-01,-0.028055685550874957,-0.0094740651900845,elasticnet
2018-11-01,0.015452244100357634,-0.0917768946799725,elasticnet
2018-12-01,-0.010667411263738852,0.0786844016658261,elasticnet
2019-01-01,0.022759172685535907,0.0297288893439271,elasticnet
2019-02-01,0.0008748847772394285,-0.0148752274277392,elasticnet
2019-03-01,0.0059961783117529616,0.1450600612427535,elasticnet
2019-11-01,0.04113083606725766,0.02858981890573,elasticnet
2019-12-01,0.0015437958578313898,-0.0016280928190489,elasticnet
2020-01-01,0.021383022515929228,-0.0841104836384031,elasticnet
2020-02-01,0.03938736991586614,0.0061438033268914,elasticnet
2020-03-01,-0.009305425163574056,0.218431669014133,elasticnet
2020-11-01,0.015451980250801484,0.03712145909357,elasticnet
2020-12-01,0.0013719858417616526,-0.0111366607554451,elasticnet
2021-01-01,0.032105510250258464,0.0260914513774483,elasticnet
2021-02-01,0.01595569802450781,0.0346851183852887,elasticnet
2021-03-01,-0.020559041729791033,0.1581552435775286,elasticnet
2021-11-01,0.0028769594002049648,0.0436129134620648,elasticnet
2021-12-01,0.005901817324798997,-0.0525851650273938,elasticnet
2022-01-01,0.024435508878653554,-0.0313604919459082,elasticnet
2022-02-01,0.01796458045284135,-0.0387819414726492,elasticnet
2022-03-01,0.04672934639079675,-0.0295411017363018,elasticnet
2022-11-01,0.025990058197159067,-0.0589714740747304,elasticnet
2022-12-01,0.003366461027957908,0.0617528578346791,elasticnet
2023-01-01,0.05124731382325572,-0.0261124939318185,elasticnet
2023-02-01,-0.006227845824700658,-0.0273440089476313,elasticnet
2023-03-01,0.021762254604534736,0.1828805493911547,elasticnet
2023-11-01,0.046718723759009706,0.0442292311563601,elasticnet
2023-12-01,0.0417102111805988,0.0158957075989916,elasticnet
2024-01-01,0.05227994511129768,0.0517206406237231,elasticnet
2024-02-01,0.03177778267139971,0.005380390318785,elasticnet
2024-03-01,0.07171929063763371,0.177350689014732,elasticnet
