asof,prediction,actual_return,model
2000-03-01,-0.04737197940902216,-0.0461636573751826,ensemble
2000-10-01,-0.038858006914294516,-0.0800686101073089,ensemble
2000-11-01,-0.013520290614086133,0.0040534456237286,ensemble
2000-12-01,0.016986912776931366,0.0346365766761644,ensemble
2001-01-01,-0.0854413734129798,-0.0922907353958596,ensemble
2001-02-01,-0.030254887731198638,-0.0642047108033915,ensemble
2001-03-01,-0.07081094252400011,-0.0866563223961732,ensemble
2001-10-01,0.043115893756943816,0.0751759041240454,ensemble
2001-11-01,-0.012292572086634876,0.0075738340889277,ensemble
2001-12-01,-0.0070563551267579065,-0.0155738324569798,ensemble
2002-01-01,-0.010494626268104382,-0.0207662110397276,ensemble
2002-02-01,0.020918704678492227,0.0367388928620746,ensemble
2002-03-01,-0.0343556777212338,-0.0214922858529873,ensemble
2002-04-01,-0.15459964909185334,-0.2110658616279115,ensemble
2002-10-01,0.023357304706747968,0.0570696207049858,ensemble
2002-11-01,-0.044177759737518675,-0.0603325718850288,ensemble
2002-12-01,-0.0038879145231459546,-0.0274146926830446,ensemble
2003-01-01,-0.01528271953284496,-0.0170036082568717,ensemble
2003-02-01,0.00028965501906888513,0.0083575676843328,ensemble
2003-03-01,0.011914830485220037,0.0361597575691459,ensemble
2003-04-01,0.1924986177013786,0.195550992917741,ensemble
2003-10-01,0.03479160598152928,0.0071285040713728,ensemble
2003-11-01,0.03536293026419419,0.050765540778892,ensemble
2003-12-01,0.02643900225259254,0.0172763869507552,ensemble
2004-01-01,0.00868066374173246,0.0122089737376105,ensemble
2004-02-01,-0.006823397642524695,-0.0163589196178668,ensemble
2004-03-01,0.017249290057196345,0.0138518555130375,ensemble
2004-04-01,0.0069775546365523555,0.0280343367571449,ensemble
2004-11-01,0.03686250603040318,0.0324582128432051,ensemble
2004-12-01,-0.00829246990230701,-0.025290467442294,ensemble
2005-01-01,0.020160891256078572,0.0189033461321133,ensemble
2005-02-01,-0.01566314668232706,-0.0191176555602896,ensemble
2005-03-01,0.0066719146648069015,-0.0064966856377359,ensemble
2005-04-01,0.012581992823784645,0.0290641855736775,ensemble
2005-10-01,0.020888648905428714,0.0351860965190933,ensemble
2005-11-01,0.01097449052971055,-0.0009523493171964,ensemble
2005-12-01,0.00859207325008738,0.025466771341108,ensemble
2006-01-01,-0.01183763229502755,0.0004531577283561,ensemble
2006-02-01,0.0037314793202200425,0.0110958104088896,ensemble
2006-03-01,0.06771623707822974,0.0641531169942235,ensemble
2006-10-01,0.03216813775633138,0.0164666563430959,ensemble
2006-11-01,0.00764970146438766,0.0126157828146704,ensemble
2006-12-01,0.012431387560562633,0.0140590430231779,ensemble
2007-01-01,-0.011367958526667646,-0.0218461759919443,ensemble
2007-02-01,0.009255827235431766,-0.0028290617283671,ensemble
2007-03-01,0.027655256500946617,0.0558153821789209,ensemble
2007-11-01,-0.031147943301880608,-0.0086285085612979,ensemble
2007-12-01,-0.030482344969508832,-0.0611634322777698,ensemble
2008-01-01,-0.047883037218595645,-0.0347611927372881,ensemble
2008-02-01,-0.024955952038193827,-0.0280017808323106,ensemble
2008-03-01,-0.2622808269896606,-0.307050578242949,ensemble
2008-11-01,-0.03825382497942849,0.0078215766334994,ensemble
2008-12-01,-0.06985596377321393,-0.0856573430580542,ensemble
2009-01-01,-0.09089548075168707,-0.1099311976201994,ensemble
2009-02-01,-0.08591648573988012,-0.0703451551286293,ensemble
2009-03-01,0.5476951371483624,0.6032514809541341,ensemble
2009-11-01,-0.10153120345446945,0.0177705709193383,ensemble
2009-12-01,-0.03412375903344256,-0.0369742456922621,ensemble
2010-01-01,0.03055885797928118,0.028513689046546,ensemble
2010-02-01,0.01395823453534409,0.0411954842527317,ensemble
2010-03-01,0.033920618832661606,0.0265741953001883,ensemble
2010-11-01,0.04775603045454975,0.065300040347155,ensemble
2010-12-01,0.03882469259603967,0.0226455743591391,ensemble
2011-01-01,0.02073331004939192,0.0319565637280934,ensemble
2011-02-01,-0.003933015135810451,-0.0172842045121556,ensemble
2011-03-01,-0.01810398175663996,-0.0439476700339234,ensemble
2011-11-01,-0.005765774500830304,0.0085327636666361,ensemble
2011-12-01,0.019445706838429885,0.0435830627049853,ensemble
2012-01-01,0.05062734157642197,0.0405894637681172,ensemble
2012-02-01,0.013949942798190913,0.0038002615562462,ensemble
2012-03-01,0.014698367645581585,0.0330520463319912,ensemble
2012-11-01,0.01615634077489559,0.0070682309562846,ensemble
2012-12-01,0.02697628360115782,0.0504280964668688,ensemble
2013-01-01,0.023586060516994023,0.0110606487650415,ensemble
2013-02-01,0.012765186930530158,0.0240974982872295,ensemble
2013-03-01,0.14929867726185939,0.1641524491458312,ensemble
2013-11-01,0.04933754814235283,0.0235627919754459,ensemble
2013-12-01,-0.02435694730897972,-0.0355829059558115,ensemble
2014-01-01,0.045964228651063456,0.0431170301781616,ensemble
2014-02-01,-0.011722313554395862,0.0099976274590822,ensemble
2014-03-01,0.06607146001920904,0.1009137268584841,ensemble
2014-11-01,0.017233133385488507,-0.004188587515997,ensemble
2014-12-01,-0.016999308091126073,-0.0310408058384106,ensemble
2015-01-01,0.04619162963526524,0.0548925108906233,ensemble
2015-02-01,-0.03573128508592488,-0.0157947209476716,ensemble
2015-03-01,0.005233132466034157,0.004417553711562,ensemble
2015-11-01,-0.00654554879909846,-0.0175301850326925,ensemble
2015-12-01,-0.03878000915782204,-0.0507353220469523,ensemble
2016-01-01,-0.01877940807841222,-0.0041283603090035,ensemble
2016-02-01,0.023495934459252764,0.0465575846803061,ensemble
