asof,cpi_yoy
2000-01-01,-0.0075738577854135
2000-02-01,-0.0075738577854135
2000-03-01,-0.0075738577854135
2000-04-01,-0.0075738577854135
2000-05-01,-0.0075738577854135
2000-06-01,-0.0075738577854135
2000-07-01,-0.0075738577854135
2000-08-01,-0.0075738577854135
2000-09-01,-0.0075738577854135
2000-10-01,-0.0075738577854135
2000-11-01,-0.0075738577854135
2000-12-01,-0.0075738577854135
2001-01-01,0.0282617022073281
2001-02-01,0.09673998194845
2001-03-01,-0.2227539775642594
2001-04-01,0.065348211818319
2001-05-01,0.1336596079749659
2001-06-01,-0.1292566972572977
2001-07-01,-0.2567073523994416
2001-08-01,-0.2026377761510771
2001-09-01,-0.233378984766548
2001-10-01,-0.3833332946666682
2001-11-01,-0.4499892200949038
2001-12-01,-0.5418330351667306
2002-01-01,0.0158603235306546
2002-02-01,-0.6780433606928293
2002-03-01,-0.4947559732530839
2002-04-01,-0.4985364558463611
2002-05-01,-0.6731079675588356
2002-06-01,-0.6713883740833555
2002-07-01,-0.4614562189074848
2002-08-01,-0.3371769696537419
2002-09-01,-0.4281863755756645
2002-10-01,-0.0472861410895315
2002-11-01,0.1598343833851587
2002-12-01,0.5317865806032516
2003-01-01,0.0227009504019415
2003-02-01,1.6201918681921423
2003-03-01,1.0467214603455148
2003-04-01,0.3570635571301692
2003-05-01,0.7413263359020856
2003-06-01,0.978877026388962
2003-07-01,0.4404388618429002
2003-08-01,0.1971669892174303
2003-09-01,0.532350878490552
2003-10-01,0.0073696150721216
2003-11-01,-0.1971377651788418
2003-12-01,-0.2092712807805091
2004-01-01,0.0267723632988787
2004-02-01,-0.432024870533068
2004-03-01,-0.4247798276500314
2004-04-01,0.0271489022759985
2004-05-01,0.4829957790734176
2004-06-01,0.5462851840542353
2004-07-01,0.4174608839402469
2004-08-01,0.2298666572764427
2004-09-01,0.0936696543158588
2004-10-01,0.5627028600324575
2004-11-01,0.9960198976787932
2004-12-01,0.7321508855323062
2005-01-01,0.0339274655935433
2005-02-01,0.7763764394021726
2005-03-01,0.8122667999046767
2005-04-01,0.5363223887703428
2005-05-01,-0.0815988486685271
2005-06-01,-0.2253031432599707
2005-07-01,0.0592301745779326
2005-08-01,0.3717516052664493
2005-09-01,0.8467501537751052
2005-10-01,0.3633014537551711
2005-11-01,-0.019170402791911
2005-12-01,0.049176455555139
2006-01-01,0.0322594443722152
2006-02-01,0.1961676717586822
2006-03-01,0.0680684397458222
2006-04-01,0.0099973281209853
2006-05-01,0.4866352689322988
2006-06-01,0.7068123246510014
2006-07-01,0.3085464530277009
2006-08-01,0.0487690601981072
2006-09-01,-0.5599496188877535
2006-10-01,-0.6997991639959833
2006-11-01,-0.4288277489460994
2006-12-01,-0.25617574822311
2007-01-01,0.0285267216374567
2007-02-01,-0.3286446104055125
2007-03-01,-0.1736339415740387
2007-04-01,-0.2741428786979286
2007-05-01,-0.3541926916645848
2007-06-01,-0.37782273918059
2007-07-01,-0.4311131792954166
2007-08-01,-0.4841008951388902
2007-09-01,0.3358643970492256
2007-10-01,1.7092530690204957
2007-11-01,1.1818097527263736
2007-12-01,0.6063877354220377
2008-01-01,0.0383910030511849
2008-02-01,0.667173181174719
2008-03-01,0.4328077187858408
2008-04-01,0.5296633597505844
2008-05-01,0.5517480630756517
2008-06-01,0.8688942992246482
2008-07-01,1.3747135034693376
2008-08-01,1.726715067334727
2008-09-01,0.7919541990496004
2008-10-01,0.033655583690169
2008-11-01,-0.7516199305977911
2008-12-01,-0.9776018194341024
2009-01-01,-0.003555458481079
2009-02-01,-0.9413416680015548
2009-03-01,-1.096335611896753
2009-04-01,-1.187174648008961
2009-05-01,-1.3068908642540622
2009-06-01,-1.2841170180354018
2009-07-01,-1.374484810422914
2009-08-01,-1.276319632603635
2009-09-01,-1.2605276521204385
2009-10-01,-1.0500242668909323
2009-11-01,0.7187163125540519
2009-12-01,28.769627952260624
2010-01-01,0.0164004341249535
2010-02-01,8.074571003975596
2010-03-01,-7.032910448539457
2010-04-01,-4.0349972723053495
2010-05-01,-2.577125974297585
2010-06-01,-1.7382721604512552
2010-07-01,-1.5889833923098895
2010-08-01,-1.7734737585298337
2010-09-01,-1.8891911560045591
2010-10-01,-7.410723661183059
2010-11-01,-0.3781409522731921
2010-12-01,-0.4503704253543579
2011-01-01,0.0315684199999999
2011-02-01,-0.0166782374359176
2011-03-01,0.1588809481931183
2011-04-01,0.414579017521989
2011-05-01,0.7657945181213526
2011-06-01,2.37858392612515
2011-07-01,1.9377724776613856
2011-08-01,2.2847239581745575
2011-09-01,2.3823681911858445
2011-10-01,2.0073674188782005
2011-11-01,1.9692912896783563
2011-12-01,0.9805920076163784
2012-01-01,0.0206933729126761
2012-02-01,0.3622696119017738
2012-03-01,-0.0112637851315052
2012-04-01,-0.2721211797456783
2012-05-01,-0.5224368009603643
2012-06-01,-0.5324320253746458
2012-07-01,-0.6118596770868814
2012-08-01,-0.5512368980973736
2012-09-01,-0.4852383065988997
2012-10-01,-0.3866038806308861
2012-11-01,-0.4802776826859
2012-12-01,-0.4122971801085532
2013-01-01,0.0146483232431713
2013-02-01,-0.3110916760446087
2013-03-01,-0.444106090447379
2013-04-01,-0.538339109061379
2013-05-01,-0.2008438882936463
2013-06-01,0.0543409411332012
2013-07-01,0.3920839276623753
2013-08-01,-0.1028203493425528
2013-09-01,-0.4049436493675933
2013-10-01,-0.5543664652802699
2013-11-01,-0.2987652865371906
2013-12-01,-0.1374399634237821
2014-01-01,0.0162222274702468
2014-02-01,-0.4305397982935643
