asof,actual_return
1990-01-01,0.008539042758088922
1990-02-01,0.024254986404143253
1990-03-01,-0.10572454604721326
1990-10-01,0.05993421454178649
1990-11-01,0.024827757338752088
1990-12-01,0.0415177499981747
1991-01-01,0.06728117681278012
1991-02-01,0.02220283252204225
1991-03-01,0.0003730721454184849
1991-04-01,0.04552969821613306
1991-10-01,-0.0439037086263071
1991-11-01,0.11158785507428148
1991-12-01,-0.019923751783923582
1992-01-01,0.00958954312696414
1992-02-01,-0.02183186212532795
1992-03-01,-0.005301133630992383
1992-04-01,0.04265970714372047
1992-10-01,0.03026180770368403
1992-11-01,0.010107766987062838
1992-12-01,0.007045987892006611
1993-01-01,0.010483627595407663
1993-02-01,0.01869729905188877
1993-03-01,-0.02275997625186965
1993-04-01,0.0462176153049878
1993-11-01,0.010091174724184526
1993-12-01,0.032500745519977725
1994-01-01,-0.030044997286678532
1994-02-01,-0.04574651060635082
1994-03-01,0.05962720179672876
1994-10-01,-0.03950461187888721
1994-11-01,0.012299117331743048
1994-12-01,0.024277711761677034
1995-01-01,0.03607414807259257
1995-02-01,0.027329195113380722
1995-03-01,0.1613509015670802
1995-10-01,0.04104900278106194
1995-11-01,0.01744387340596476
1995-12-01,0.03261738686923121
1996-01-01,0.006933701784703983
1996-02-01,0.007916567590839696
1996-03-01,0.016049551280499674
1996-04-01,0.07533625359565432
1996-10-01,0.07337615178140577
1996-11-01,-0.021505414489508046
1996-12-01,0.061317039054128886
1997-01-01,0.0059275902346540565
1997-02-01,-0.04261401064074877
1997-03-01,0.0010302584820180982
1997-04-01,0.2067818520315874
1997-10-01,0.044586855212639165
1997-11-01,0.01573159710869443
1997-12-01,0.010150177442407982
1998-01-01,0.07044919253631243
1998-02-01,0.049945714341220526
1998-03-01,0.019015158767301976
1998-04-01,-0.021403677092423523
1998-10-01,0.05912599628568138
1998-11-01,0.056375287084956094
1998-12-01,0.04100944085374847
1999-01-01,-0.032282562377591306
1999-02-01,0.0387942154089167
1999-03-01,0.005713733695466017
1999-04-01,0.07357856849409816
1999-11-01,0.05784389473992291
1999-12-01,-0.05090354879190062
2000-01-01,-0.020108083256356934
2000-02-01,0.09671982835364812
2000-03-01,-0.04616365737518269
2000-10-01,-0.08006861010730892
2000-11-01,0.004053445623728669
2000-12-01,0.03463657667616449
2001-01-01,-0.09229073539585964
2001-02-01,-0.06420471080339152
2001-03-01,-0.08665632239617327
2001-10-01,0.0751759041240454
2001-11-01,0.0075738340889277556
2001-12-01,-0.015573832456979853
2002-01-01,-0.020766211039727644
2002-02-01,0.03673889286207466
2002-03-01,-0.021492285852987347
2002-04-01,-0.21106586162791152
2002-10-01,0.05706962070498589
2002-11-01,-0.06033257188502883
2002-12-01,-0.02741469268304464
2003-01-01,-0.01700360825687175
2003-02-01,0.008357567684332823
2003-03-01,0.03615975756914591
2003-04-01,0.19555099291774103
2003-10-01,0.0071285040713728876
2003-11-01,0.05076554077889206
2003-12-01,0.017276386950755285
2004-01-01,0.01220897373761054
2004-02-01,-0.01635891961786684
2004-03-01,0.013851855513037581
2004-04-01,0.02803433675714495
2004-11-01,0.03245821284320516
2004-12-01,-0.025290467442294018
2005-01-01,0.018903346132113308
2005-02-01,-0.01911765556028966
2005-03-01,-0.006496685637735977
2005-04-01,0.029064185573677515
2005-10-01,0.035186096519093324
2005-11-01,-0.0009523493171964548
2005-12-01,0.025466771341108085
2006-01-01,0.0004531577283561905
2006-02-01,0.011095810408889628
2006-03-01,0.06415311699422355
2006-10-01,0.016466656343095964
2006-11-01,0.012615782814670462
2006-12-01,0.014059043023177953
2007-01-01,-0.021846175991944383
2007-02-01,-0.002829061728367166
2007-03-01,0.0558153821789209
2007-11-01,-0.008628508561297932
2007-12-01,-0.06116343227776988
2008-01-01,-0.03476119273728817
2008-02-01,-0.02800178083231064
2008-03-01,-0.307050578242949
2008-11-01,0.007821576633499472
2008-12-01,-0.08565734305805428
2009-01-01,-0.10993119762019943
2009-02-01,-0.07034515512862938
2009-03-01,0.6032514809541341
2009-11-01,0.017770570919338313
2009-12-01,-0.03697424569226215
2010-01-01,0.028513689046546054
2010-02-01,0.041195484252731784
2010-03-01,0.02657419530018834
2010-11-01,0.06530004034715509
2010-12-01,0.022645574359139164
2011-01-01,0.03195656372809341
2011-02-01,-0.01728420451215562
2011-03-01,-0.043947670033923414
2011-11-01,0.008532763666636134
2011-12-01,0.043583062704985354
2012-01-01,0.04058946376811723
2012-02-01,0.0038002615562462427
2012-03-01,0.033052046331991214
2012-11-01,0.007068230956284616
2012-12-01,0.050428096466868855
2013-01-01,0.011060648765041536
2013-02-01,0.024097498287229513
2013-03-01,0.16415244914583127
2013-11-01,0.023562791975445974
2013-12-01,-0.035582905955811595
2014-01-01,0.0431170301781616
2014-02-01,0.009997627459082281
2014-03-01,0.1009137268584841
2014-11-01,-0.004188587515997044
2014-12-01,-0.031040805838410623
2015-01-01,0.0548925108906233
2015-02-01,-0.015794720947671648
2015-03-01,0.00441755371156205
2015-11-01,-0.017530185032692547
2015-12-01,-0.0507353220469523
2016-01-01,-0.0041283603090035426
2016-02-01,0.04655758468030613
2016-03-01,0.08734101261757665
2016-11-01,0.01820076244186586
2016-12-01,0.01788435819838252
2017-01-01,0.03719816006681631
2017-02-01,0.0037908503347994227
2017-03-01,0.11589815778073453
2017-11-01,0.009831630594270502
2017-12-01,0.05617870412552817
2018-01-01,-0.0389473718793677
2018-02-01,0.026803443156113715
2018-03-01,-0.009474065190084535
2018-11-01,-0.09177689467997252
2018-12-01,0.07868440166582613
