geo,ds,cpi_index,spx_close,spx_ret_1m,cpi_mom,cpi_yoy
Algeria,2000-01-01,70.444767,1394.4599609375,,,
Algeria,2000-02-01,2.440101,1366.4200439453125,-0.020108083256356934,-0.9653615008762823,
Algeria,2000-03-01,1.664484,1498.5799560546875,0.09671982835364812,-0.31786266224225956,
Algeria,2000-04-01,0.943327,,0.0,-0.43326159939056186,
Algeria,2000-05-01,-0.493234,,0.0,-1.5228664079370144,
Algeria,2000-06-01,-1.175247,,0.0,1.3827371997875244,
Algeria,2000-07-01,-0.623393,,0.0,-0.46956427031934567,
Algeria,2000-08-01,0.0,,0.0,-1.0,
Algeria,2000-09-01,-0.971194,,0.0,-inf,
Algeria,2000-10-01,-0.399445,1429.4000244140625,-0.04616365737518269,-0.5887073025574705,
Algeria,2000-11-01,0.273012,1314.949951171875,-0.08006861010730892,-1.6834783261775712,
Algeria,2000-12-01,0.129045,1320.280029296875,0.004053445623728669,-0.5273284690782822,
Algeria,2001-01-01,73.421658,1366.010009765625,0.03463657667616449,567.961664535627,0.04225851155132632
Algeria,2001-02-01,-0.246161,1239.93994140625,-0.09229073539585964,-1.0033527028223743,-1.1008814799059548
Algeria,2001-03-01,0.825865,1160.3299560546875,-0.06420471080339152,-4.354979058421115,-0.5038312173622577
Algeria,2001-04-01,2.225995,,0.0,1.6953497242285365,1.3597278568301343
Algeria,2001-05-01,5.26324,,0.0,1.3644437655969575,-11.670878325500674
Algeria,2001-06-01,6.54615,,0.0,0.2437490975140788,-6.570020599924952
Algeria,2001-07-01,6.326389,,0.0,-0.03357103030025288,-11.148315749455
Algeria,2001-08-01,5.358301,,0.0,-0.1530237865550158,inf
Algeria,2001-09-01,5.270107,,0.0,-0.016459321714103026,-6.426420468001244
Algeria,2001-10-01,5.922057,1059.780029296875,-0.08665632239617327,0.12370716571788765,-15.825713177033133
Algeria,2001-11-01,7.265544,1139.449951171875,0.0751759041240454,0.22686154489901078,25.61254450353831
Algeria,2001-12-01,7.553795,1148.0799560546875,0.0075738340889277556,0.03967369821172362,57.536130807082806
Algeria,2002-01-01,74.456792,1130.199951171875,-0.015573832456979853,8.856872207943159,0.0140984830388875
Algeria,2002-02-01,4.846458,1106.72998046875,-0.020766211039727644,-0.9349091215211098,-20.68816343775009
Algeria,2002-03-01,3.447547,1147.3900146484375,0.03673889286207466,-0.2886460586267332,3.1744679820551784
Algeria,2002-04-01,3.28607,1122.72998046875,-0.021492285852987347,-0.046838230196716735,0.4762252386011647
Algeria,2002-05-01,0.048905,,0.0,-0.9851174807596916,-0.9907081949521588
Algeria,2002-06-01,-0.49494,,0.0,-11.120437583069217,-1.0756078000045828
Algeria,2002-07-01,1.884212,,0.0,-4.806950337414636,-0.7021662752638196
Algeria,2002-08-01,1.795477,,0.0,-0.047093957580144896,-0.6649167338676942
