ds,geo,metric,value
1999-12-01,Algeria,CPI_Index,71.448
2000-01-01,Algeria,CPI_Index,70.444767
2000-01-01,Algeria,CPI_Index,0.340273
2000-01-01,Algeria,CPI_Index,2.236582
2000-01-01,Algeria,CPI_Index,73.252
2000-02-01,Algeria,CPI_Index,2.440101
2000-02-01,Algeria,CPI_Index,71.7009
2000-03-01,Algeria,CPI_Index,1.664484
2000-03-01,Algeria,CPI_Index,71.743
2000-04-01,Algeria,CPI_Index,0.943327
2000-04-01,Algeria,CPI_Index,70.4539
2000-05-01,Algeria,CPI_Index,-0.493234
2000-05-01,Algeria,CPI_Index,70.126
2000-06-01,Algeria,CPI_Index,-1.175247
2000-06-01,Algeria,CPI_Index,69.1964
2000-07-01,Algeria,CPI_Index,-0.623393
2000-07-01,Algeria,CPI_Index,68.2285
2000-08-01,Algeria,CPI_Index,0.0
2000-08-01,Algeria,CPI_Index,69.2029
2000-09-01,Algeria,CPI_Index,-0.971194
2000-09-01,Algeria,CPI_Index,69.6836
2000-10-01,Algeria,CPI_Index,-0.399445
2000-10-01,Algeria,CPI_Index,69.6177
2000-11-01,Algeria,CPI_Index,0.273012
2000-11-01,Algeria,CPI_Index,70.5921
2000-12-01,Algeria,CPI_Index,0.129045
2000-12-01,Algeria,CPI_Index,71.5402
2001-01-01,Algeria,CPI_Index,73.421658
2001-01-01,Algeria,CPI_Index,4.225852
2001-01-01,Algeria,CPI_Index,-1.139628
2001-01-01,Algeria,CPI_Index,72.4172
2001-02-01,Algeria,CPI_Index,-0.246161
2001-02-01,Algeria,CPI_Index,71.5244
2001-03-01,Algeria,CPI_Index,0.825865
2001-03-01,Algeria,CPI_Index,72.3355
2001-04-01,Algeria,CPI_Index,2.225995
2001-04-01,Algeria,CPI_Index,72.0222
2001-05-01,Algeria,CPI_Index,5.26324
2001-05-01,Algeria,CPI_Index,73.8169
2001-06-01,Algeria,CPI_Index,6.54615
2001-06-01,Algeria,CPI_Index,73.7261
2001-07-01,Algeria,CPI_Index,6.326389
2001-07-01,Algeria,CPI_Index,72.5449
2001-08-01,Algeria,CPI_Index,5.358301
2001-08-01,Algeria,CPI_Index,72.911
2001-09-01,Algeria,CPI_Index,5.270107
2001-09-01,Algeria,CPI_Index,73.356
2001-10-01,Algeria,CPI_Index,5.922057
2001-10-01,Algeria,CPI_Index,73.7405
2001-11-01,Algeria,CPI_Index,7.265544
2001-11-01,Algeria,CPI_Index,75.721
2001-12-01,Algeria,CPI_Index,7.553795
2001-12-01,Algeria,CPI_Index,76.9442
2002-01-01,Algeria,CPI_Index,74.456792
2002-01-01,Algeria,CPI_Index,1.409847
2002-01-01,Algeria,CPI_Index,3.128124
2002-01-01,Algeria,CPI_Index,74.6825
2002-02-01,Algeria,CPI_Index,4.846458
2002-02-01,Algeria,CPI_Index,74.9908
2002-03-01,Algeria,CPI_Index,3.447547
2002-03-01,Algeria,CPI_Index,74.8293
2002-04-01,Algeria,CPI_Index,3.28607
2002-04-01,Algeria,CPI_Index,74.3889
2002-05-01,Algeria,CPI_Index,0.048905
2002-05-01,Algeria,CPI_Index,73.853
2002-06-01,Algeria,CPI_Index,-0.49494
2002-06-01,Algeria,CPI_Index,73.3612
2002-07-01,Algeria,CPI_Index,1.884212
2002-07-01,Algeria,CPI_Index,73.9118
2002-08-01,Algeria,CPI_Index,1.795477
2002-08-01,Algeria,CPI_Index,74.2201
2002-09-01,Algeria,CPI_Index,1.488086
2002-09-01,Algeria,CPI_Index,74.4476
2002-10-01,Algeria,CPI_Index,1.277453
2002-10-01,Algeria,CPI_Index,74.6825
2002-11-01,Algeria,CPI_Index,-0.731633
2002-11-01,Algeria,CPI_Index,75.167
2002-12-01,Algeria,CPI_Index,-2.595907
2002-12-01,Algeria,CPI_Index,74.9468
2003-01-01,Algeria,CPI_Index,77.629758
2003-01-01,Algeria,CPI_Index,4.261487
2003-01-01,Algeria,CPI_Index,-0.255482
2003-01-01,Algeria,CPI_Index,74.4917
2003-02-01,Algeria,CPI_Index,1.272556
2003-02-01,Algeria,CPI_Index,75.9451
2003-03-01,Algeria,CPI_Index,1.049723
2003-03-01,Algeria,CPI_Index,75.6148
2003-04-01,Algeria,CPI_Index,2.131501
2003-04-01,Algeria,CPI_Index,75.9745
2003-05-01,Algeria,CPI_Index,3.85658
2003-05-01,Algeria,CPI_Index,76.7012
2003-06-01,Algeria,CPI_Index,6.40393
2003-06-01,Algeria,CPI_Index,78.0592
2003-07-01,Algeria,CPI_Index,5.790009
2003-07-01,Algeria,CPI_Index,78.1913
2003-08-01,Algeria,CPI_Index,6.38897
2003-08-01,Algeria,CPI_Index,78.962
2003-09-01,Algeria,CPI_Index,6.261182
2003-09-01,Algeria,CPI_Index,79.1089
2003-10-01,Algeria,CPI_Index,6.683761
2003-10-01,Algeria,CPI_Index,79.6741
2003-11-01,Algeria,CPI_Index,6.054652
2003-11-01,Algeria,CPI_Index,79.7181
2003-12-01,Algeria,CPI_Index,5.563146
2003-12-01,Algeria,CPI_Index,79.1162
2004-01-01,Algeria,CPI_Index,80.710325
2004-01-01,Algeria,CPI_Index,3.968281
2004-01-01,Algeria,CPI_Index,7.370888
2004-01-01,Algeria,CPI_Index,79.9824
2004-02-01,Algeria,CPI_Index,5.238784
2004-02-01,Algeria,CPI_Index,79.9237
2004-03-01,Algeria,CPI_Index,6.82459
2004-03-01,Algeria,CPI_Index,80.7752
2004-04-01,Algeria,CPI_Index,6.560359
2004-04-01,Algeria,CPI_Index,80.9587
2004-05-01,Algeria,CPI_Index,5.024302
2004-05-01,Algeria,CPI_Index,80.5549
2004-06-01,Algeria,CPI_Index,2.698849
2004-06-01,Algeria,CPI_Index,80.1659
2004-07-01,Algeria,CPI_Index,2.666153
2004-07-01,Algeria,CPI_Index,80.276
2004-08-01,Algeria,CPI_Index,1.431701
2004-08-01,Algeria,CPI_Index,80.0925
2004-09-01,Algeria,CPI_Index,3.247549
2004-09-01,Algeria,CPI_Index,81.678
2004-10-01,Algeria,CPI_Index,2.85601
2004-10-01,Algeria,CPI_Index,81.9496
2004-11-01,Algeria,CPI_Index,2.007449
2004-11-01,Algeria,CPI_Index,81.3184
2004-12-01,Algeria,CPI_Index,2.189691
2004-12-01,Algeria,CPI_Index,80.8486
2005-01-01,Algeria,CPI_Index,81.826083
2005-01-01,Algeria,CPI_Index,1.382423
2005-01-01,Algeria,CPI_Index,2.606448
2005-01-01,Algeria,CPI_Index,82.0671
2005-02-01,Algeria,CPI_Index,3.251226
2005-02-01,Algeria,CPI_Index,82.5222
2005-03-01,Algeria,CPI_Index,2.635339
2005-03-01,Algeria,CPI_Index,82.9039
2005-04-01,Algeria,CPI_Index,2.738186
2005-04-01,Algeria,CPI_Index,83.1755
2005-05-01,Algeria,CPI_Index,1.849919
2005-05-01,Algeria,CPI_Index,82.0451
2005-06-01,Algeria,CPI_Index,2.023678
2005-06-01,Algeria,CPI_Index,81.7882
2005-07-01,Algeria,CPI_Index,1.197867
2005-07-01,Algeria,CPI_Index,81.2376
2005-08-01,Algeria,CPI_Index,1.0815
2005-08-01,Algeria,CPI_Index,80.9587
2005-09-01,Algeria,CPI_Index,-0.970518
2005-09-01,Algeria,CPI_Index,80.8853
2005-10-01,Algeria,CPI_Index,-0.824043
2005-10-01,Algeria,CPI_Index,81.2743
2005-11-01,Algeria,CPI_Index,-0.126417
2005-11-01,Algeria,CPI_Index,81.2156
2005-12-01,Algeria,CPI_Index,1.225624
2005-12-01,Algeria,CPI_Index,81.8395
2006-01-01,Algeria,CPI_Index,83.717483
2006-01-01,Algeria,CPI_Index,2.311488
2006-01-01,Algeria,CPI_Index,0.626073
2006-01-01,Algeria,CPI_Index,82.5809
2006-02-01,Algeria,CPI_Index,-0.240178
2006-02-01,Algeria,CPI_Index,82.324
2006-03-01,Algeria,CPI_Index,0.28334
2006-03-01,Algeria,CPI_Index,83.1388
2006-04-01,Algeria,CPI_Index,0.970839
2006-04-01,Algeria,CPI_Index,83.983
2006-05-01,Algeria,CPI_Index,2.165151
2006-05-01,Algeria,CPI_Index,83.8215
2006-06-01,Algeria,CPI_Index,2.07316
2006-06-01,Algeria,CPI_Index,83.4838
2006-07-01,Algeria,CPI_Index,2.005968
2006-07-01,Algeria,CPI_Index,82.8672
2006-08-01,Algeria,CPI_Index,3.27315
2006-08-01,Algeria,CPI_Index,83.6086
2006-09-01,Algeria,CPI_Index,4.138206
2006-09-01,Algeria,CPI_Index,84.2325
2006-10-01,Algeria,CPI_Index,4.642304
2006-10-01,Algeria,CPI_Index,85.0473
2006-11-01,Algeria,CPI_Index,4.09441
2006-11-01,Algeria,CPI_Index,84.5409
2006-12-01,Algeria,CPI_Index,3.838978
2006-12-01,Algeria,CPI_Index,84.9813
2007-01-01,Algeria,CPI_Index,86.79745
2007-01-01,Algeria,CPI_Index,3.679001
2007-01-01,Algeria,CPI_Index,2.37343
2007-01-01,Algeria,CPI_Index,84.5409
2007-02-01,Algeria,CPI_Index,3.308027
2007-02-01,Algeria,CPI_Index,85.0473
2007-03-01,Algeria,CPI_Index,3.063792
2007-03-01,Algeria,CPI_Index,85.686
2007-04-01,Algeria,CPI_Index,1.59949
2007-04-01,Algeria,CPI_Index,85.3263
2007-05-01,Algeria,CPI_Index,1.331043
2007-05-01,Algeria,CPI_Index,84.9372
2007-06-01,Algeria,CPI_Index,3.279678
2007-06-01,Algeria,CPI_Index,86.2218
2007-07-01,Algeria,CPI_Index,4.801176
2007-07-01,Algeria,CPI_Index,86.8458
2007-08-01,Algeria,CPI_Index,4.372277
2007-08-01,Algeria,CPI_Index,87.2642
2007-09-01,Algeria,CPI_Index,5.40314
2007-09-01,Algeria,CPI_Index,88.7837
2007-10-01,Algeria,CPI_Index,4.928434
2007-10-01,Algeria,CPI_Index,89.2388
2007-11-01,Algeria,CPI_Index,4.818851
2007-11-01,Algeria,CPI_Index,88.6148
2007-12-01,Algeria,CPI_Index,4.802586
2007-12-01,Algeria,CPI_Index,89.0626
2008-01-01,Algeria,CPI_Index,91.011525
2008-01-01,Algeria,CPI_Index,4.855068
2008-01-01,Algeria,CPI_Index,4.488952
2008-01-01,Algeria,CPI_Index,88.3359
2008-02-01,Algeria,CPI_Index,4.798977
2008-02-01,Algeria,CPI_Index,89.1287
2008-03-01,Algeria,CPI_Index,5.86817
2008-03-01,Algeria,CPI_Index,90.7142
2008-04-01,Algeria,CPI_Index,6.340366
2008-04-01,Algeria,CPI_Index,90.7363
2008-05-01,Algeria,CPI_Index,6.663276
2008-05-01,Algeria,CPI_Index,90.5968
2008-06-01,Algeria,CPI_Index,4.112069
2008-06-01,Algeria,CPI_Index,89.7673
2008-07-01,Algeria,CPI_Index,2.60335
2008-07-01,Algeria,CPI_Index,89.1067
2008-08-01,Algeria,CPI_Index,4.575989
2008-08-01,Algeria,CPI_Index,91.2574
2008-09-01,Algeria,CPI_Index,4.671353
2008-09-01,Algeria,CPI_Index,92.9311
2008-10-01,Algeria,CPI_Index,4.14573
2008-10-01,Algeria,CPI_Index,92.9384
