ds,spx_close
1997-02-01 05:00:00,790.8200073242188
1997-03-01 05:00:00,757.1199951171875
1997-04-01 05:00:00,757.9000244140625
1997-05-01 05:00:00,
1997-06-01 05:00:00,
1997-07-01 05:00:00,
1997-08-01 05:00:00,
1997-09-01 05:00:00,
1997-10-01 05:00:00,914.6199951171876
1997-11-01 05:00:00,955.4000244140624
1997-12-01 05:00:00,970.4299926757812
1998-01-01 05:00:00,980.280029296875
1998-02-01 05:00:00,1049.3399658203125
1998-03-01 05:00:00,1101.75
1998-04-01 05:00:00,1122.699951171875
1998-05-01 05:00:00,
1998-06-01 05:00:00,
1998-07-01 05:00:00,
1998-08-01 05:00:00,
1998-09-01 05:00:00,
1998-10-01 05:00:00,1098.6700439453125
1998-11-01 05:00:00,1163.6300048828125
1998-12-01 05:00:00,1229.22998046875
1999-01-01 05:00:00,1279.6400146484375
1999-02-01 05:00:00,1238.3299560546875
1999-03-01 05:00:00,1286.3699951171875
1999-04-01 05:00:00,1293.719970703125
1999-05-01 05:00:00,
1999-06-01 05:00:00,
1999-07-01 05:00:00,
1999-08-01 05:00:00,
1999-09-01 05:00:00,
1999-10-01 05:00:00,
1999-11-01 05:00:00,1388.9100341796875
1999-12-01 05:00:00,1469.25
2000-01-01 05:00:00,1394.4599609375
2000-02-01 05:00:00,1366.4200439453125
2000-03-01 05:00:00,1498.5799560546875
2000-04-01 05:00:00,
2000-05-01 05:00:00,
2000-06-01 05:00:00,
2000-07-01 05:00:00,
2000-08-01 05:00:00,
2000-09-01 05:00:00,
2000-10-01 05:00:00,1429.4000244140625
2000-11-01 05:00:00,1314.949951171875
2000-12-01 05:00:00,1320.280029296875
2001-01-01 05:00:00,1366.010009765625
2001-02-01 05:00:00,1239.93994140625
2001-03-01 05:00:00,1160.3299560546875
2001-04-01 05:00:00,
2001-05-01 05:00:00,
2001-06-01 05:00:00,
2001-07-01 05:00:00,
2001-08-01 05:00:00,
2001-09-01 05:00:00,
2001-10-01 05:00:00,1059.780029296875
2001-11-01 05:00:00,1139.449951171875
2001-12-01 05:00:00,1148.0799560546875
2002-01-01 05:00:00,1130.199951171875
2002-02-01 05:00:00,1106.72998046875
2002-03-01 05:00:00,1147.3900146484375
2002-04-01 05:00:00,1122.72998046875
2002-05-01 05:00:00,
2002-06-01 05:00:00,
2002-07-01 05:00:00,
2002-08-01 05:00:00,
2002-09-01 05:00:00,
2002-10-01 05:00:00,885.760009765625
2002-11-01 05:00:00,936.3099975585938
2002-12-01 05:00:00,879.8200073242188
2003-01-01 05:00:00,855.7000122070312
2003-02-01 05:00:00,841.1500244140625
2003-03-01 05:00:00,848.1799926757812
2003-04-01 05:00:00,878.8499755859375
2003-05-01 05:00:00,
2003-06-01 05:00:00,
2003-07-01 05:00:00,
2003-08-01 05:00:00,
2003-09-01 05:00:00,
2003-10-01 05:00:00,1050.7099609375
2003-11-01 05:00:00,1058.199951171875
2003-12-01 05:00:00,1111.9200439453125
2004-01-01 05:00:00,1131.1300048828125
2004-02-01 05:00:00,1144.93994140625
2004-03-01 05:00:00,1126.2099609375
2004-04-01 05:00:00,1141.81005859375
2004-05-01 05:00:00,
2004-06-01 05:00:00,
2004-07-01 05:00:00,
2004-08-01 05:00:00,
2004-09-01 05:00:00,
2004-10-01 05:00:00,
2004-11-01 05:00:00,1173.8199462890625
2004-12-01 05:00:00,1211.9200439453125
2005-01-01 05:00:00,1181.27001953125
2005-02-01 05:00:00,1203.5999755859375
2005-03-01 05:00:00,1180.5899658203125
2005-04-01 05:00:00,1172.9200439453125
2005-05-01 05:00:00,
2005-06-01 05:00:00,
2005-07-01 05:00:00,
2005-08-01 05:00:00,
2005-09-01 05:00:00,
2005-10-01 05:00:00,1207.010009765625
2005-11-01 05:00:00,1249.47998046875
2005-12-01 05:00:00,1248.2900390625
2006-01-01 05:00:00,1280.0799560546875
2006-02-01 05:00:00,1280.6600341796875
2006-03-01 05:00:00,1294.8699951171875
2006-04-01 05:00:00,
2006-05-01 05:00:00,
2006-06-01 05:00:00,
2006-07-01 05:00:00,
2006-08-01 05:00:00,
2006-09-01 05:00:00,
2006-10-01 05:00:00,1377.93994140625
2006-11-01 05:00:00,1400.6300048828125
2006-12-01 05:00:00,1418.300048828125
2007-01-01 05:00:00,1438.239990234375
2007-02-01 05:00:00,1406.8199462890625
2007-03-01 05:00:00,1402.8399658203125
2007-04-01 05:00:00,
2007-05-01 05:00:00,
2007-06-01 05:00:00,
2007-07-01 05:00:00,
2007-08-01 05:00:00,
2007-09-01 05:00:00,
2007-10-01 05:00:00,
2007-11-01 05:00:00,1481.1400146484375
2007-12-01 05:00:00,1468.3599853515625
2008-01-01 05:00:00,1378.550048828125
2008-02-01 05:00:00,1330.6300048828125
2008-03-01 05:00:00,1293.3699951171875
2008-04-01 05:00:00,
2008-05-01 05:00:00,
2008-06-01 05:00:00,
2008-07-01 05:00:00,
2008-08-01 05:00:00,
2008-09-01 05:00:00,
2008-10-01 05:00:00,
2008-11-01 05:00:00,896.239990234375
2008-12-01 05:00:00,903.25
2009-01-01 05:00:00,825.8800048828125
2009-02-01 05:00:00,735.0900268554688
2009-03-01 05:00:00,683.3800048828125
2009-04-01 05:00:00,
2009-05-01 05:00:00,
2009-06-01 05:00:00,
2009-07-01 05:00:00,
2009-08-01 05:00:00,
